"","rateVector","meanVector","aliveVector"
"1",0.013,0.964895402454122,1251
"2",0.006,0.924269902844798,1289
"3",0.017,0.975340845547418,1323
"4",0.009,0.947122869570731,1257
"5",0.01,0.953642893602661,1281
"6",0.008,0.938800187810179,1248
"7",0.014,0.968320448865411,1254
"8",0.012,0.95851823458227,1250
"9",0,0.613800073692128,557
"10",0.011,0.956805899240222,1284
"11",0.003,0.869102506060408,1223
"12",0.019,0.972413192509967,1306
"13",0.001,0.735958250477841,1279
"14",0.002,0.833136838958103,1198
"15",0.02,0.972714555976487,657
"16",0.007,0.938596882175034,1261
"17",0.004,0.902140529647495,1318
"18",0.005,0.914777340228088,1230
"19",0.015,0.96969482654794,1231
"20",0.016,0.971134341643758,1237
"21",0.018,0.969096765468684,1215
